Article Title,Paragraph
The Spiral Jetty,"My concern with salt lakes began with my work in 1968 on the Mono Lake Site-Nonsite in California.1
 Later I read a book called Vanishing Trails of Atacama by William Rudolph which described salt lakes (salars) in Bolivia in all stages of desiccation and filled with micro bacteria that give the water surface a red color. The pink flamingos that live around the salars match the color of the water. In The Useless Land, John Aarons and Claudio Vita-Finzi describe Laguna Colorada: “The basalt (at the shores) is black, the volcanos purple, and their exposed interiors yellow and red. The beach is grey and the lake pink, topped with the icing of iceberg-like masses of salts.”2
 Because of the remoteness of Bolivia and because Mono Lake lacked a reddish color, I decided to investigate the Great Salt Lake in Utah."
The Spiral Jetty,"From New York City I called the Utah Park Development and spoke to Ted Tuttle, who told me that water in the Great Salt Lake north of Lucin Cutoff, which cuts the lake in two, was the color of tomato soup. That was enough of a reason to go out there and have a look. Tuttle told my wife, Nancy Holt, and myself of some people who knew the lake. First we visited Bill Holt who lived in Syracuse. He was instrumental in building a causeway that connected Syracuse with Antelope Island in the southern part of the Great Salt Lake. Although that site was interesting, the water lacked the red coloration I was looking for, so we continued our search. Next we went to see John Silver on Silver Sands Beach near Magna. His sons showed us the only boat that sailed the lake. Due to the high salt content of the water it was impractical for ordinary boats to use the lake, and no large boats at all could go beyond the Lucin Cutoff on which the transcontinental railroad crossed the lake. At that point I was still not sure what shape my work of art would take. I thought of making an island with the help of boats and barges, but in the end I would let the site determine what I would build. We visited Charles Stoddard, who supposedly had the only barge on the north side of the cutoff. Stoddard, a well-driller, was one of the last homesteaders in Utah. His attempt to develop Carrington Island in 1932 ended in failure because he could not find fresh water. “I’ve had the lake,” he said. Yet, while he was living on the island with his family he made many valuable observations of the lake. He was kind enough to take us to Little Valley on the east side of the Lucin Cutoff to look for his barge—it had sunk. The abandoned man-made harbors of Little Valley gave me my first view of the wine-red water, but there were too many “Keep Out” signs around to make that a practical site for anything, and we were told to “stay away” by two angry ranchers. After fixing a gashed gas tank, we returned to Charles Stoddard’s house north of Syracuse on the edge of some salt marshes. He showed us photographs he had taken of “icebergs,”3
 and of Kit Carson’s cross carved on a rock on Fremont Island. We then decided to leave and go to Rozel Point."
The Spiral Jetty,"Driving west on Highway 83 late in the afternoon, we passed through Corinne, then went on to Promontory. Just beyond the Golden Spike Monument, which commemorates the meeting of the rails of the first transcontinental railroad, we went down a dirt road in a wide valley. As we traveled, the valley spread into an uncanny immensity unlike the other landscapes we had seen. The roads on the map became a net of dashes, while in the far distance the Salt Lake existed as an interrupted silver band. Hills took on the appearance of melting solids, and glowed under amber light. We followed roads that glided away into dead ends. Sandy slopes turned into viscous masses of perception. Slowly, we drew near to the lake, which resembled an impassive faint violet sheet held captive in a stoney matrix, upon which the sun poured down its crushing light. An expanse of salt flats bordered the lake, and caught in its sediments were countless bits of wreckage. Old piers were left high and dry. The mere sight of the trapped fragments of junk and waste transported one into a world of modern prehistory. The products of a Devonian industry, the remains of a Silurian technology, all the machines of the Upper Carboniferous Period were lost in those expansive deposits of sand and mud."
The Spiral Jetty,Two dilapidated shacks looked over a tired group of oil rigs. A series of seeps of heavy black oil more like asphalt occur just south of Rozel Point. For forty or more years people have tried to get oil out of this natural tar pool. Pumps coated with black stickiness rusted in the corrosive salt air. A hut mounted on pilings could have been the habitation of “the missing link.” A great pleasure arose from seeing all those incoherent structures. This site gave evidence of a succession of man-made systems mired in abandoned hopes.
The Spiral Jetty,"About one mile north of the oil seeps I selected my site. Irregular beds of limestone dip gently eastward, massive deposits of black basalt are broken over the peninsula, giving the region a shattered appearance. It is one of the few places on the lake where the water comes right up to the mainland. Under shallow pinkish water is a network of mud cracks supporting the jig-saw puzzle that composes the salt flats. As I looked at the site, it reverberated out of the horizons only to suggest an immobile cyclone while flickering light made the entire landscape appear to quake. A dormant earthquake spread into the fluttering stillness, into a spinning sensation without movement. This site was a rotary that enclosed itself in an immense roundness. From that gyrating space emerged the possibility of the Spiral Jetty. No ideas, no concepts, no systems, no structures, no abstractions could hold themselves together in the actuality of that evidence. My dialectics of site and nonsite whirled into an indeterminate state, where solid and liquid lost themselves in each other. It was as if the mainland oscillated with waves and pulsations, and the lake remained rock still. The shore of the lake became the edge of the sun, a boiling curve, an explosion rising into a fiery prominence. Matter collapsing into the lake mirrored in the shape of a spiral. No sense wondering about classifications and categories, there were none."
The Spiral Jetty,"After securing a twenty year lease on the meandering zone,4
 and finding a contractor in Ogden, I began building the jetty in April, 1970. Bob Phillips, the foreman, sent two dump trucks, a tractor, and a large front loader out to the site. The tail of the spiral began as a diagonal line of stakes that extended into the meandering zone. A string was then extended from a central stake in order to get the coils of the spiral. From the end of the diagonal to the center of the spiral, three curves coiled to the left. Basalt and earth were scooped up from the beach at the beginning of the jetty by the front loader, then deposited in the trucks, where upon the trucks backed up to the outline of stakes and dumped the material. On the edge of the water, at the beginning of the tail, the wheels of the trucks sank into a quagmire of sticky gumbo mud. A whole afternoon was spent filling in this spot. Once the trucks passed that problem, there was always the chance that the salt crust resting on the mud flats would break through. The Spiral Jetty was staked out in such a way as to avoid the soft muds that broke up through the salt crust; nevertheless there were some mud fissures that could not be avoided. One could only hope that tension would hold the entire jetty together, and it did. A cameraman was sent by the Ace Gallery in Los Angeles to film the process."
The Spiral Jetty,"The scale of the Spiral Jetty tends to fluctuate depending on where the viewer happens to be. Size determines an object, but scale determines art. A crack in the wall if viewed in terms of scale, not size, could be called the Grand Canyon. A room could be made to take on the immensity of the solar system. Scale depends on one’s capacity to be conscious of the actualities of perception. When one refuses to release scale from size, one is left with an object or language that appears to be certain. For me scale operates by uncertainty. To be in the scale of the Spiral Jetty is to be out of it. On eye level, the tail leads one into an undifferentiated state of matter. One’s downward gaze pitches from side to side, picking out random depositions of salt crystals on the inner and outer edges, while the entire mass echoes the irregular horizons. And each cubic salt crystal echoes the Spiral Jetty in terms of the crystal’s molecular lattice. Growth in a crystal advances around a dislocation point, in the manner of a screw. The Spiral Jetty could be considered one layer within a spiraling crystal lattice, magnified trillions of times."
The Spiral Jetty,"This description echoes and reflects Brancusi’s sketch of James Joyce as a “spiral ear” because it suggests both a visual and an aural scale, in other words it indicates a sense of scale that resonates in the eye and the ear at the same time. Here is a reinforcement and prolongation of spirals that reverberates up and down space and time. So it is that one ceases to consider art in terms of an “object.” The fluctuating resonances reject “objective criticism,” because that would stifle the generative power of both visual and auditory scale. Not to say that one resorts to “subjective concepts,” but rather that one apprehends what is around one’s eyes and ears, no matter how unstable or fugitive. One seizes the spiral, and the spiral becomes a seizure."
The Spiral Jetty,"After a point, measurable steps (“Scale skal n. it. Or L; it. Scala; L scala usually scalae pl., I.a. originally a ladder; a flight of stairs; hence, b. a means of ascent”)5
 descend from logic to the “surd state.” The rationality of a grid on a map sinks into what it is supposed to define. Logical purity suddenly finds itself in a bog, and welcomes the unexpected event. The “curved” reality of sense perception operates in and out of the “straight” abstractions of the mind. The flowing mass of rock and earth of the Spiral Jetty could be trapped by a grid of segments, but the segments would exist only in the mind or on paper. Of course, it is also possible to translate the mental spiral into a three-dimensional succession of measured lengths that would involve areas, volumes, masses, moments, pressures, forces, stresses, and strains; but in the Spiral Jetty the surd takes over and leads one into a world that cannot be expressed by number or rationality. Ambiguities are admitted rather than rejected, contradictions are increased rather than decrease – the alogos undermines the logos. Purity is put in jeopardy. I took my chances on a perilous path, along which my steps zigzagged, resembling a spiral lightning bolt. “We have found a strange footprint on the shores of the unknown. We have devised profound theories, one after another, to account for its origin. At last, we have succeeded in constructing the creature that made the footprint. And lo! It is our own”.6
 For my film (a film is a spiral made up of frames) I would have myself filmed from a helicopter (from the Greek helix, helikos meaning spiral) directly overhead in order to get the scale in terms of erratic steps."
The Spiral Jetty,"Chemically speaking, our blood is analogous in composition to the primordial seas. Following the spiral steps we return to our origins, back to the same pulpy protoplasm, a floating eye adrift in an antediluvian ocean. On the slopes of Rozel Point I closed my eyes, and the sun burned crimson through the lids. I opened them and the Great Salt Lake was bleeding scarlet streaks. My sight was saturated by the color of red algae circulating in the heart of the lake, pumping into ruby currents, no they were veins and arteries sucking up the obscure sediments. My eyes became combustion chambers churning orbs of blood blazing by the light of the sun. All was enveloped in a flaming chromosphere; I thought of Jackson Pollock’s Eyes in the Heat (1946; Peggy Guggenheim Collection). Swirling within the incandescence of solar energy were sprays of blood. My movie would end in sunstroke. Perception was heaving, the stomach turning, I was on a geologic fault that groaned within me. Between heat lightning and heat exhaustion the spiral curled into vaporization. I had the red heaves, while the sun vomited its corpuscular radiations. Rays of glare hit my eyes with the frequency of a Geiger counter. Surely, the storm clouds massing would turn into a rain of blood. Once, when I was flying over the lake, its surface seemed to hold all the properties of an unbroken field of raw meat with gristle (foam); no doubt it was due to some freak wind action. Eyesight is often slaughtered by the other sense, and when that happens it becomes necessary to seek out dispassionate abstractions. The dizzying spiral yearns for the assurance of geometry. One wants to retreat into the cool rooms of reason. But no, there was Van Gogh with his easel on some sun-baked lagoon painting ferns of the Carboniferous Period. Then the mirage faded into the burning atmosphere."
The Spiral Jetty,"The helicopter maneuvered the sun’s reflection through the Spiral Jetty until it reached the center. The water functioned as a vast thermal mirror. From that position the flaming reflection suggested the ion source of a cyclotron that extended into a spiral of collapsed matter. All sense of energy acceleration expired into a rippling stillness of reflected heat. A withering light swallowed the rocky particles of the spiral, as the helicopter gained altitude. All existence seemed tentative and stagnant. The sound of the helicopter motor became a primal groan echoing into tenuous aerial views. Was I but a shadow in a plastic bubble hovering in a place outside mind and body? Et in Utah ego. I was slipping out of myself again, dissolving into a unicellular beginning, trying to locate the nucleus at the end of the spiral. All that blood stirring makes one aware of protoplasmic solutions, the essential matter between the formed and the unformed, masses of cells consisting largely of water, proteins, lipoids, carbohydrates, and inorganic salts. Each drop that splashed onto the Spiral Jetty coagulated into a crystal. Undulating waters spread millions upon millions of crystals over the basalt."
The Spiral Jetty,"Back in New York, the urban desert, I contacted Bob Fiore and Barbara Jarvis and asked them to help me put my movie together. The movie began as a set of disconnections, a bramble of stabilized fragments taken from things obscure and fluid, ingredients trapped in a succession of frames, a stream of viscosities both still and moving. And the movie editor, bending over such a chaos of “takes” resembles a paleontologist sorting out glimpses of a world not yet together, a land that has yet to come to completion, a span of time unfinished, a spaceless limbo on some spiral reels. Film strips hung from the cutter’s rack, bits and pieces of Utah, out-takes overexposed and underexposed, masses of impenetrable material. The sun, the spiral, the salt buried in lengths of footage. Everything about movies and moviemaking is archaic and crude. One is transported by this Archeozoic medium into the earliest known geological eras. The movieola becomes a “time machine” that transforms trucks into dinosaurs. Fiore pulled lengths of film out of the movieola with the grace of a Neanderthal pulling intestines from a slaughtered mammoth. Outside of this 13th Street loft window one expected to see Pleistocene faunas, glacial uplifts, living fossils, and other prehistoric wonders. Like two cavemen we plotted how to get to the Spiral Jetty from New York City. A geopolitics of primordial return ensued. How to get across the geography of Gondwanaland, the Austral Sea, and Atlantis became a problem. Consciousness of the distant past absorbed the time that went into the making of the movie. I needed a map that would show the prehistoric world as coextensive with the world I existed in."
The Spiral Jetty,"I found an oval map of such a double world. The continents of the Jurassic Period merged with continents of today. A microlense fitted to the end of a camera mounted on a heavy tripod would trace the course of “absent images” in the blank spaces of the map. The camera panned from right to left. One is liable to see things in maps that are not there. One must be careful of the hypothetical monsters that lurk between the map’s latitudes; they are designated on the map as black circles (marine reptiles) and squares (land reptiles). In the pan shot one doesn’t see the flesh-eaters walking through what today is called Indochina. There is no indication of Pterodactyls flying over Bombay. And where are the corals and sponges covering southern Germany? In the emptiness one sees no Stegosaurus. In the middle of the pan we see Europe completely under water, but not a trace of the Brontosaurus. What line or color hides the Globigerina Ooze? I don’t know. As the pan ends near Utah, on the edge of Atlantis, a cut takes place, and we found ourselves looking at a rectangular grid known as Location NK 12-7 on the border of a map by the U.S. Geological Survey showing the northern part of the Great Salt Lake without any reference to the Jurassic Period."
The Spiral Jetty,"I wanted Nancy to shoot “the earth’s history” in one minute for the third section of the movie. I wanted to treat the above quote as a “fact.” We drove out to the Great Notch Quarry in New Jersey, where I found a quarry facing about twenty feet high. I climbed to the top and threw handfuls of ripped-up pages from books and magazines over the edge, while Nancy filmed it. Some ripped pages from an Old Atlas blew across a dried out, cracked mud puddle."
The Spiral Jetty,"According to all we know from fossil anatomy that beast was comparatively harmless. Its only weapons were its teeth and claws. I don’t know what those obscene looking paunches mean – they don’t show in any fossil remains yet found. Nor do I know whether red is their natural color, or whether it is due to faster decay owing to all the oil having dropped down off them. So much for its supposed identity.8"
The Spiral Jetty,"The movie recapitulates the scale of the Spiral Jetty. Disparate elements assume a coherence. Unlikely places and things were stuck between sections of film that show a stretch of dirt road rushing to and from the actual site in Utah. A road that goes forward and backward between things and places that are elsewhere. You might even say that the road is nowhere in particular. The disjunction operating between reality and film drives one into a sense of cosmic rupture. Nevertheless, all the improbabilities would accommodate themselves to my cinematic universe. Adrift amid scraps of film, one is unable to suffuse into them any meaning, they seem worn-out, ossified views, degraded and pointless, yet they are powerful enough to hurl one into a lucid vertigo. The road takes one from a telescopic shot of the sun to a quarry in Great Notch New Jersey, to a map showing the “deformed shorelines of ancient Lake Bonneville,” to The Lost World, and to the Hall of Late Dinosaurs in the American Museum of Natural History."
The Spiral Jetty,"The hall was filmed through a red filter. The camera focuses on a Ornithominus Altus embedded in plaster behind a glass case. A pan across the room picked up a crimson chiaroscuro tone. There are times when the great outdoors shrinks phenomenologically to the scale of a prison, and times when the indoors expands to the scale of the universe. So it is with the sequence from the Hall of Late Dinosaurs. An interior immensity spreads throughout the hall, transforming the lightbulbs into dying suns. The red filter dissolves the floor, ceiling, and walls into halations of infinite redness. Boundless desolation emerged from the cinematic emulsions, red clouds, burned from the intangible light beyond the windows, visibility deepened into ruby dispersions. The bones, the glass cases, the armatures brought forth a blood-drenched atmosphere. Blindly the camera stalked through the sullen light. Glassy reflections flashed into dissolutions like powdered blood. Under a burning window the skull of a Tyrannosaurus was mounted in a glass case with a mirror under the skull. In this limitless scale one’s mind imagines things that are not there. The blood-soaked dropping of a sick Duck-Billed Dinosaur, for instance. Rotting monster flesh covered with millions of red spiders. Delusion follows delusion. The ghostly cameraman slides over the glassed-in compounds. These fragments of a timeless geology laugh without mirth at the time-filled hopes of ecology. From the soundtrack the echoing metronome vanishes into the wilderness of bones and glass. Tracking around a glass containing a “dinosaur mummy,” the words of The Unnameable are heard. The camera shifts to a specimen squeezed flat by the weight of sediments, then the film cuts to the road in Utah."
The Spiral Jetty,"The range of convergence between Site and Nonsite consists of a course of hazards, a double path made up of signs, photographs, and maps that belong to both sides of the dialectic at once. Both sides are present and absent at the same time. The land or ground from the Site is placed in the art (Nonsite) rather than the art placed on the ground. The Nonsite is a container within another container – the room. The plot or yard outside is yet another container. Two-dimensional and three-dimensional things trade places with each other in the range of convergence. Large scale becomes small. Small scale becomes large. A point on a map expands to the size of the land mass. A land mass contracts to a point. Is the Site a reflection of the Nonsite (mirror), or is it the other way around? The rules of this network of signs are discovered as you go along uncertain trails both mental and physical."
The Spiral Jetty,"“No fish or reptile lives in it (Mono Lake), yet it swarms with millions of worms which develop into flies. These rest on the surface and cover everything on the immediate shore. The number and quantity of those worms and flies is absolutely incredible. The drift up in heaps along the shore.” W.H. Brewer, The Whitney Survey, 1863."
The Spiral Jetty,"Beginning at a point South 3000 feet and West 800 feet from the Northeast Corner of Section 8, Township 8 North, Range 7 West; thence South 45° West 651 feet; thence North 60° West 651 feet; thence North 45° East 651 feet; thence Southeasterly along the meander line 675 feet to the point of beginning. Containing 10.00 acres, more or less. (Special Use Lease Agreement No. 222; witness: Mr. Mark Crystal.)"
Interpolation of the Enantiomorphic Chambers,"Once, when I was fortunate enough to gain access to the private art-book library of the late Casper Clamp, I had the privilege of scrutinizing his rare edition of “The Exhaustion of Sight or How to Go Blind and Yet See.” Only six volumes remain of this astounding work. The book’s heavy pages contained intricate diagrams “on seeing sight.” A chapter called “Invisible Orbs,” illustrated special visual conditions known as “lead eyes, ice eyes, pyramidal eyes, and violet eyes.” Much was said about eyeglasses as “a structure supported by the nose and ears.” The few artists that have seen this book, such as Daniel Nivalk and Mary Bone have been in some way altered. Nivalk finds the book “suspect,” but nevertheless agrees that it contains many “hitherto unknown facts about visual acedia.” On the other hand Mary Bone, known in certain circles for her “Smoke on Smoke,” finds Clamp’s book, “the key to flying saucers.” For myself, the book is a true paradigm of unending importance. I look forward to the day when it will be published in “paperback,” so that millions of artists everywhere will be able to share in its many treasures."
Entropy and the New Monuments,"Many architectural concepts found in science-fiction have nothing to do with science or fiction,instead they suggest a new kind of monumentality which has much in common with the aims of some of today’s artists. I am thinking in particular of Donald Judd, Robert Morris, Sol LeWitt, Dan Flavin, and of certain artists in the “Park Place Group.” The artists who build structured canvases and “wall-size” paintings, such as Will Insley, Peter Hutchinson and Frank Stella are more indirectly related. The chrome and plastic fabricators such as Paul Thek, Craig Kauffman, and Larry Bell are also relevant. The works of many of these artists celebrate what Flavin calls “inactive history” or what the physicist calls “entropy” or “energy-drain.” They bring to mind the Ice Age rather than the Golden Age, and would most likely confirm Vladimir Nabokov’s observation that, “The future is but the obsolete in reverse.” In a rather round-about way, many of the artists have provided a visible analog for the Second Law of Thermodynamics, which extrapolates the range of entropy by telling us energy is more easily lost than obtained, and that in the ultimate future the whole universe will burn out and be transformed into an all-encompassing sameness. The “blackout” that covered the Northeastern states recently, may be seen as a preview of such a future. Far from creating a mood of dread, the power failure created a mood of euphoria. An almost cosmic joy swept over all the darkened cities. Why people felt that way may never be answered."
Entropy and the New Monuments,"Instead of causing us to remember the past like the old monuments, the new monuments seem to cause us to forget the future. Instead of being made of natural materials, such as marble, granite, or other kinds of rock, the new monuments are made of artificial materials, plastic, chrome, and electric light. They are not built for the ages, but rather against the ages. They are involved in a systematic reduction of time down to fractions of seconds, rather than in representing the long spaces of centuries. Both past and future are placed into an objective present. This kind of time has little or no space; it is stationary and anti-Newtonian, as well as being instant, and is against the wheels of the time-clock. Flavin makes “instant-monuments”; parts for “Monument 7 for V. Tatlin” were purchased at the Radar Fluorescent Company. The “instant” makes Flavin’s work a part of time rather than space. Time becomes a place minus motion. If time is a place, then innumerable places are possible. Flavin turns gallery-space into gallery time. Time breaks down into many times. Rather than saying, “What time is it?”, we should say, “Where is the time?” “Where is Flavin’s Monument?” The objective present at times seems missing. A million years is contained in a second, yet we tend to forget the second as soon as it happens. Flavin’s destruction of classical time and space is based on an entirely new notion of the structure of matter."
Entropy and the New Monuments,"Time as decay or biological evolution is eliminated by many of these artists; this displacement allows the eye to see time as an infinity of surfaces or structures, or both combined, without the burden of what Roland Barthes calls the “undifferentiated mass of organic sensation.” The concealed surfaces in some of Judd’s works are hideouts for time. His art vanishes into a series of motionless intervals based on an order of solids. Robert Grosvenor’s suspended structural surfaces cancel out the notion of weight, and reverse the orientation of matter within the solid-state of inorganic time. This reduction of time all but annihilates the value of the notion of “action” in art."
Entropy and the New Monuments,"Mistakes and dead-ends often mean more to these artists than any proven problem. Questions about form seems as hopelessly inadequate as questions about content. Problems are unnecessary because problems represent values that create the illusion of purpose. The problem of “form vs. content,” for example, leads to illusionistic dialectics that become, at best, formalist reactions against content. Reaction follows action, till finally the artist gets “tired” and settles for a monumental inaction. The action-reaction syndrome is merely the leftovers of what Marshall McLuhan calls the hypnotic state of mechanism. According to him, an electrical numbing or torpor has replaced the mechanical breakdown. The awareness of the ultimate collapse of both mechanical and electrical technology has motivated these artists to build their monuments to or against entropy. As LeWitt points out, “I am not interested in idealizing technology.” LeWitt might prefer the word “sub-monumental,” especially if we consider his proposal to put a piece of Cellini’s jewelry into a block of cement. An almost alchemic fascination with inert properties is his concern here, but LeWitt prefers to turn gold into cement."
Entropy and the New Monuments,"The much denigrated architecture of Park Avenue known as “cold glass boxes,” along with the Manneristic modernity of Philip Johnson, have helped to foster the entropic mood. The Union Carbide building best typifies such architectural entropy. In its vast lobby one may see an exhibition called “The Future.” It offers the purposeless “educational” displays of Will Burtin, “internationally acclaimed for his three-dimensional designs,” which portray “Atomic Energy in Action.”If ever there was an example of action in entropy, this is it. The action is frozen into an array of plastic and neon, and enhanced by the sound of Muzak faintly playing in the background. At a certain time of day, you may also see a movie called “The Petrified River.” A nine-foot vacuum-formed blue plexiglass globe is a model of a uranium atom—“ten million trillion trillion times the size of the actual atom.” Lights on the ends of flexible steel rods are whipped about in the globe. Parts of the “underground” movie, “The Queen of Sheba Meets the Atom Man,” were filmed in this exhibition hall. Taylor Mead creeps around in the film like a loony sleepwalker, and licks the plastic models depicting “chain-reaction.” The sleek walls and high ceilings give the place an uncanny tomb-like atmosphere. There is something irresistible about such a place, something grand and empty."
Entropy and the New Monuments,"This kind of architecture without “value of qualities,” is, if anything, a fact. From this “undistinguished” run of architecture, as Flavin calls it, we gain a clear perception of physical reality free from the general claims of “purity and idealism.” Only commodities can afford such illusionistic values; for instance, soap is 99 44/100% pure, beer has more spirit in it, and dog food is ideal; all and all this means such values are worthless. As the cloying effect of such “values” wears off, one perceives the “facts” of the outer edge, the flat surface, the banal, the empty, the cool, blank after blank; in other words, that infinitesimal condition known as entropy."
Entropy and the New Monuments,"The slurbs, urban sprawl, and the infinite number of housing developments of the post-war boom have contributed to the architecture of entropy. Judd, in a review of a show by Roy Lichtenstein, speaks of “a lot of visible things” that are “bland and empty,” such as “most
modern commercial buildings, new Colonial stores, lobbies, most houses, most clothing, sheet aluminum, and plastic with leather texture, the formica like wood, the cute and modern patterns inside jets and drugstores.” Near the super highways surrounding the city, we find the discount centers and cut-rate stores with their sterile facades. On the inside of such places are maze-like counters with piles of neatly stacked merchandise; rank on rank it goes into a consumer oblivion. The lugubrious complexity of these interiors has brought to art a new consciousness of the vapid and the dull. But this very vapidity and dullness is what inspires many of the more gifted artists. Morris has distilled many such dull facts and made them into monumental artifices of “idea.” In such a way, Morris has restored the idea of immortality by accepting it as a vast immobility; he has even gone so far as to fashion a bra out of lead. (This he has made for his dance partner, Yvonne Rainer, to help stop the motion in her dances.)"
Entropy and the New Monuments,"This kind of nullification has re-created Kasimir Malevich’s “non-objective world,” where there are no more “likenesses of reality, no idealistic images, nothing but a desert!” But for many of today’s artists this “desert” is a “City of the Future” made of null structures and surfaces. This “City” performs no natural function, it simply exists between mind and matter, detached from both, representing neither. It is, in fact, devoid of all classical ideals of space and process. It is brought into focus by a strict condition of perception, rather than by any expressive or emotive means. Perception as a deprivation of action and reaction brings to the minds the desolate, but exquisite, surface-structures of the empty “box” or “lattice.” As action decreases, the clarity of such surface-structures increases. This is evident in art when all representations of action pass into oblivion. At this stage, lethargy is elevated to the most glorious magnitude. In Damon Knight’s Sci-fic novel, “Beyond the Barrier,” he describes in a phenomenological manner just such surface-structures: “Part of the scene before them seemed to expand. Where one of the flotation machines had been, there was a dim lattice of crystals, growing more shadowy and insubstantial as it swelled; then darkness; then a dazzle of faint prismatic light-tiny complexes in a vast three-dimensional array, growing steadily bigger.” This description has none of the “values” of the naturalistic “literary” novel, it is crystalline, and of the mind by virtue of being outside of unconscious action. This very well could be an inchoate concept for a work by Judd, LeWitt, Flavin, or Insley."
